Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Compared to National,Denominator,Score,Start Date,End Date,EDAC_30_AMI Denominator,EDAC_30_AMI Score,EDAC_30_HF Denominator,EDAC_30_HF Score,EDAC_30_PN Denominator,EDAC_30_PN Score,OP_32 Denominator,OP_32 Score,OP_35_ADM Denominator,OP_35_ADM Score,OP_35_ED Denominator,OP_35_ED Score,OP_36 Denominator,OP_36 Score,READM_30_AMI Denominator,READM_30_AMI Score,READM_30_CABG Denominator,READM_30_CABG Score,READM_30_COPD Denominator,READM_30_COPD Score,READM_30_HF Denominator,READM_30_HF Score,READM_30_HIP_KNEE Denominator,READM_30_HIP_KNEE Score,READM_30_HOSP_WIDE Denominator,READM_30_HOSP_WIDE Score,READM_30_PN Denominator,READM_30_PN Score
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,Houston,(334) 793-8701,0,424,6.5,7/1/17,12/1/19,424,6.5,904,16.1,503,-7.1,511,14.1,192,11.3,192,6.7,1003,0.9,424,16.2,193,13.5,310,21.2,904,22.8,165,4.9,1805,15.5,503,16.3
10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,Marshall,(256) 593-8310,0,36,-17.4,7/1/17,12/1/19,36,-17.4,223,15.5,468,12.9,1086,14.8,120,9.5,120,5.4,514,0.9,36,15.1,0,0,378,18.1,223,22.8,168,3.9,764,14.7,468,16.1
10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,Lauderdale,(256) 768-8400,0,363,0.1,7/1/17,12/1/19,363,0.1,615,-8.1,663,39.2,1908,13.6,0,0,0,0,502,1,363,15.1,120,13.8,381,18.2,615,19.5,306,4.8,1563,15.7,663,18.6
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Covington,(334) 493-3541,1,0,0,7/1/17,12/1/19,0,0,70,8,147,13.9,184,18.4,0,0,0,0,31,1,0,0,0,0,103,20,70,23.2,0,0,144,15.7,147,17.1
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,Crenshaw,(334) 335-3374,1,0,0,7/1/17,12/1/19,0,0,0,0,26,2,81,18.7,0,0,0,0,0,0,0,0,0,0,25,19.4,0,0,0,0,38,15.3,26,16.3
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3122,1,126,33.4,7/1/17,12/1/19,126,33.4,351,64.8,349,27.4,96,16.6,0,0,0,0,248,1,126,17.2,64,15.3,166,19.5,351,22,43,4.2,918,16.3,349,16.8
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DeKalb,(256) 845-3150,0,68,-3.1,7/1/17,12/1/19,68,-3.1,141,20.4,301,-5.3,765,16.9,0,0,0,0,141,0.8,68,16.3,0,0,108,20.1,141,22.8,29,3.8,265,15.6,301,16.2
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,Shelby,(205) 620-8100,0,129,0,7/1/17,12/1/19,129,0,241,-4.8,291,9.3,122,16.3,0,0,0,0,310,0.9,129,14.5,49,11.5,143,20,241,21.4,134,4.1,808,15.4,291,17
10018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,AL,35233,Jefferson,(205) 325-8100,0,0,0,7/1/17,12/1/19,0,0,0,0,0,0,0,0,0,0,0,0,314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,Colbert,(256) 386-4556,1,0,0,7/1/17,12/1/19,0,0,308,-0.5,328,7.6,1188,16.8,48,13.1,48,7.7,359,0.9,0,0,0,0,336,20.8,308,20.6,306,5.3,778,15.8,328,16.4
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,Dale,(334) 774-2601,1,0,0,7/1/17,12/1/19,0,0,51,-19.5,68,20.3,264,14.6,0,0,0,0,0,0,0,0,0,0,63,18.6,51,21.1,0,0,84,15.5,68,17.4
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,Cherokee,(256) 927-5531,0,0,0,7/1/17,12/1/19,0,0,0,0,0,0,131,17.1,0,0,0,0,0,0,0,0,0,0,39,19.3,0,0,0,0,41,15.4,0,0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,Montgomery,(334) 288-2100,0,242,12.2,7/1/17,12/1/19,242,12.2,432,-15,175,17.9,280,16.3,525,9.1,525,5.3,316,1.1,242,16.6,57,11.9,172,20.4,432,19.5,403,4,1165,15,175,17.3
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,Montgomery,(334) 293-8000,1,196,40.8,7/1/17,12/1/19,196,40.8,403,12,352,10,295,16,146,9.6,146,5,565,0.9,196,17.8,135,14.1,213,19.8,403,23.6,208,4.2,1011,16.1,352,17.5
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,Lee,(334) 749-3411,0,185,1.2,7/1/17,12/1/19,185,1.2,559,42.3,355,23.5,2383,17,166,10.7,166,6.3,817,0.8,185,15.9,55,10.5,339,20.7,559,22.8,542,4.2,1196,14.8,355,16.6
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 934-4011,0,276,18.9,7/1/17,12/1/19,276,18.9,738,36.8,446,32.7,1527,19.9,757,11.7,757,6.3,1375,0.9,276,16.4,266,13.5,190,20.4,738,23,132,5,2672,16.2,446,17.8
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,Elmore,(334) 283-6541,1,0,0,7/1/17,12/1/19,0,0,46,-2.3,39,-13.6,394,17.6,0,0,0,0,0,0,0,0,0,0,44,18.7,46,21.5,0,0,59,15,39,16.5
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,Cullman,(256) 737-2000,0,96,-15.8,7/1/17,12/1/19,96,-15.8,477,8,437,32.1,738,16.4,0,0,0,0,329,0.9,96,15.7,0,0,232,20.6,477,22.7,112,3.7,841,16.9,437,18.8
10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,Covington,(334) 222-8466,1,0,0,7/1/17,12/1/19,0,0,260,-4.4,172,-18.9,482,16.3,0,0,0,0,247,0.8,0,0,0,0,197,18.6,260,21.3,67,4.1,335,15.4,172,15.3
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,Calhoun,(256) 235-8900,0,33,-41.2,7/1/17,12/1/19,33,-41.2,85,-0.2,89,-18.9,546,16.5,0,0,0,0,155,0.9,33,15.1,0,0,148,17.7,85,23.5,69,4.4,188,14.7,89,15.7
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,Madison,(256) 265-1000,0,920,8.7,7/1/17,12/1/19,920,8.7,1381,28.5,1454,42.5,2892,15.7,89,11.9,89,5.2,1889,0.8,920,13.9,342,12.5,847,21.3,1381,21.7,1159,5,4231,15.3,1454,17.3
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,Etowah,(256) 494-4000,0,202,17.1,7/1/17,12/1/19,202,17.1,336,25.4,472,37.8,718,15.9,0,0,0,0,443,1,202,17.3,93,11.3,247,21.1,336,23.8,316,3.7,1051,15.4,472,17
